date,time,vcc,vbat
2016/10/08,09:15:22,3.36,3.48
2016/10/08,09:16:22,3.38,3.46
2016/10/08,09:17:21,3.37,3.47
2016/10/08,09:18:21,3.36,3.47
2016/10/08,09:19:21,3.35,3.46
2016/10/08,09:20:20,3.37,3.47
2016/10/08,09:21:20,3.38,3.47
2016/10/08,09:22:20,3.36,3.47
2016/10/08,09:23:19,3.37,3.47
2016/10/08,09:24:19,3.36,3.47
2016/10/08,09:25:19,3.35,3.46
2016/10/08,09:26:19,3.38,3.47
2016/10/08,09:27:18,3.39,3.47
2016/10/08,09:28:18,3.38,3.47
2016/10/08,09:29:17,3.38,3.47
2016/10/08,09:30:17,3.39,3.47
2016/10/08,09:31:16,3.37,3.47
2016/10/08,09:32:16,3.36,3.47
2016/10/08,09:33:15,3.38,3.47
2016/10/08,09:34:15,3.38,3.47
2016/10/08,09:35:15,3.38,3.46
2016/10/08,09:36:15,3.38,3.46
2016/10/08,09:37:14,3.38,3.47
2016/10/08,09:38:13,3.35,3.47
2016/10/08,09:39:13,3.36,3.46
2016/10/08,09:40:13,3.36,3.46
2016/10/08,09:41:12,3.35,3.47
2016/10/08,09:42:11,3.36,3.46
2016/10/08,09:43:11,3.35,3.46
2016/10/08,09:44:11,3.36,3.46
2016/10/08,09:45:10,3.35,3.46
2016/10/08,09:46:10,3.35,3.46
2016/10/08,09:47:09,3.38,3.46
2016/10/08,09:48:09,3.38,3.46
2016/10/08,09:49:09,3.37,3.45
2016/10/08,09:50:09,3.38,3.46
2016/10/08,09:51:08,3.38,3.46
2016/10/08,09:52:08,3.34,3.45
2016/10/08,09:53:07,3.36,3.46
2016/10/08,09:54:07,3.33,3.46
2016/10/08,09:55:07,3.36,3.46
2016/10/08,09:56:06,3.40,3.46
2016/10/08,09:57:06,3.38,3.44
2016/10/08,09:58:06,3.37,3.45
2016/10/08,09:59:05,3.38,3.45
2016/10/08,10:00:05,3.36,3.46
2016/10/08,10:01:04,3.36,3.45
2016/10/08,10:02:04,3.34,3.44
2016/10/08,10:03:03,3.36,3.45
2016/10/08,10:04:03,3.40,3.46
2016/10/08,10:05:02,3.37,3.46
2016/10/08,10:06:02,3.38,3.46
2016/10/08,10:07:02,3.38,3.45
2016/10/08,10:08:01,3.38,3.45
2016/10/08,10:09:01,3.34,3.45
2016/10/08,10:10:01,3.35,3.45
2016/10/08,10:11:00,3.39,3.45
2016/10/08,10:12:00,3.38,3.45
2016/10/08,10:13:00,3.37,3.46
2016/10/08,10:14:00,3.36,3.44
2016/10/08,10:14:58,3.36,3.45
2016/10/08,10:15:58,3.36,3.45
2016/10/08,10:16:57,3.36,3.45
2016/10/08,10:17:57,3.37,3.45
2016/10/08,10:18:57,3.35,3.44
2016/10/08,10:19:57,3.37,3.45
2016/10/08,10:20:56,3.39,3.44
2016/10/08,10:21:56,3.35,3.45
2016/10/08,10:22:55,3.37,3.44
2016/10/08,10:23:55,3.37,3.45
2016/10/08,10:24:55,3.38,3.45
2016/10/08,10:25:55,3.37,3.46
2016/10/08,10:26:54,3.36,3.44
2016/10/08,10:27:54,3.37,3.45
2016/10/08,10:28:54,3.35,3.44
2016/10/08,10:29:53,3.38,3.45
2016/10/08,10:30:53,3.39,3.44
2016/10/08,10:31:52,3.35,3.45
2016/10/08,10:32:51,3.38,3.44
2016/10/08,10:33:52,3.35,3.45
2016/10/08,10:34:50,3.39,3.44
2016/10/08,10:35:51,3.39,3.45
2016/10/08,10:36:50,3.35,3.41
2016/10/08,10:37:50,3.38,3.41
2016/10/08,10:38:49,3.39,3.40
2016/10/08,10:39:48,3.34,3.41
2016/10/08,10:40:48,3.36,3.40
2016/10/08,10:41:47,3.38,3.41
2016/10/08,10:42:47,3.34,3.40
2016/10/08,10:43:46,3.37,3.40
2016/10/08,10:44:46,3.35,3.41
2016/10/08,10:45:46,3.35,3.40
2016/10/08,10:46:45,3.38,3.41
2016/10/08,10:47:45,3.35,3.39
2016/10/08,10:48:44,3.37,3.41
2016/10/08,10:49:44,3.36,3.41
2016/10/08,10:50:45,3.38,3.39
2016/10/08,10:51:43,3.36,3.41
2016/10/08,10:52:42,3.37,3.40
2016/10/08,10:53:42,3.36,3.40
2016/10/08,10:54:42,3.38,3.40
